id,zip_code,country,state,city,created_at,updated_at
242,521102,India,Andhra Pradesh,Krishna,,
243,516227,India,Andhra Pradesh,Cuddapah,,
244,516227,India,Andhra Pradesh,Cuddapah,,
245,500264,India,Andhra Pradesh,Hyderabad,,
246,517415,India,Andhra Pradesh,Chittoor,,
247,500048,India,Andhra Pradesh,Hyderabad,,
248,517194,India,Andhra Pradesh,Chittoor,,
249,509202,India,Andhra Pradesh,Mahboobnagar,,
250,522202,India,Andhra Pradesh,Guntur,,
251,508206,India,Andhra Pradesh,Nalgonda,,
252,524002,India,Andhra Pradesh,Nellore,,
253,516484,India,Andhra Pradesh,Cuddapah,,
254,521001,India,Andhra Pradesh,Krishna,,
255,516484,India,Andhra Pradesh,Cuddapah,,
256,524129,India,Andhra Pradesh,Nellore,,
257,517561,India,Andhra Pradesh,Chittoor,,
258,532557,India,Andhra Pradesh,Vizianagaram,,
259,503217,India,Andhra Pradesh,Balkonda,,
260,521177,India,Andhra Pradesh,Balusupadu,,
261,518124,India,Andhra Pradesh,Kurnool,,
262,518124,India,Andhra Pradesh,Kurnool,,
263,505407,India,Andhra Pradesh,Bandankal,,
264,533221,India,Andhra Pradesh,East Godavari,,
265,522021,India,Andhra Pradesh,Guntur,,
266,518523,India,Andhra Pradesh,Kurnool,,
267,521179,India,Andhra Pradesh,Krishna,,
268,522663,India,Andhra Pradesh,Guntur,,
269,523226,India,Andhra Pradesh,Prakasam,,
270,524404,India,Andhra Pradesh,Nellore,,
271,517416,India,Andhra Pradesh,Chittoor,,
272,507202,India,Andhra Pradesh,Khammam,,
273,500034,India,Andhra Pradesh,Hyderabad,,
274,508213,India,Andhra Pradesh,Nalgonda,,
275,503187,India,Andhra Pradesh,Banswada,,
276,503187,India,Andhra Pradesh,Nizamabad,,
277,506003,India,Andhra Pradesh,Warangal,,
278,502103,India,Andhra Pradesh,Medak,,
279,503231,India,Andhra Pradesh,Bardipur,,
280,500027,India,Andhra Pradesh,Hyderabad,,
281,532263,India,Andhra Pradesh,Srikakulam,,
282,532264,India,Andhra Pradesh,Srikakulam,,
283,505187,India,Andhra Pradesh,Karimnagar,,
284,504101,India,Andhra Pradesh,Adilabad,,
285,515306,India,Andhra Pradesh,Anantapur,,
286,500001,India,Andhra Pradesh,Hyderabad,,
287,501143,India,Andhra Pradesh,Ranga Reddy,,
288,501528,India,Andhra Pradesh,Ranga Reddy,,
289,521001,India,Andhra Pradesh,Krishna,,
290,515661,India,Andhra Pradesh,Anantapur,,
291,532456,India,Andhra Pradesh,Srikakulam,,
292,516164,India,Andhra Pradesh,Cuddapah,,
293,507127,India,Andhra Pradesh,Khammam,,
294,507211,India,Andhra Pradesh,Khammam,,
295,500004,India,Andhra Pradesh,Hyderabad,,
296,533242,India,Andhra Pradesh,East Godavari,,
297,506002,India,Andhra Pradesh,Warangal,,
298,500039,India,Andhra Pradesh,Hyderabad,,
299,505188,India,Andhra Pradesh,Karimnagar,,
300,500012,India,Andhra Pradesh,Hyderabad,,
